Link speed (Gbps),Flow rate (fps),NetMambaLite coverage (%),Transformer coverage (%),1D-CNN coverage (%),BiLSTM coverage (%)
1,8333.333333333334,1767.24,2388.48,5189.807999999999,2081.388
10,83333.33333333333,176.72400000000002,238.84799999999998,518.9808,208.1388
40,333333.3333333333,44.181000000000004,59.711999999999996,129.7452,52.0347
100,833333.3333333334,17.6724,23.8848,51.89808,20.813879999999997
