run_name,feature_mode,model_name,test_loss,test_mutual_info_cipher_pred,test_infer_samples_per_sec,test_infer_benchmark_sec,test_eval_sec,elapsed_total_sec,accuracy,macro_f1,group,metric_type,precomputed_dir,elapsed_eval_sec,train_ciphers,test_ciphers,acc_drop_vs_in_cipher,display_name,source,phase
ubuntu_G5_size_agnostic_transformer,size_agnostic,transformer,0.2778105621184238,0.0032752403868408,190759.93609778743,0.0967184219989576,0.4615951820014743,310.1880119140005,0.8898644986449864,0.8723088365378867,G5_size_agnostic,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/8288035295ecbc702630cbe822f8c3a128abd7e2,,,,,Transformer,existing,phase2_occlusion
shortcut_compare_full_G5_size_agnostic_yatc,size_agnostic,yatc,0.35734008384746047,0.0025210214760561546,154043.5325201148,0.11977133799882722,0.49297746299998835,151.75375682999947,0.8629268292682927,0.8438531273980177,G5_size_agnostic,in_cipher,,,,,,YaTC,reproduced,phase2_occlusion
shortcut_compare_full_G6_cross_cipher_etbert_cross,baseline,etbert,0.08362986725666408,0.0,10826.16124840166,3.7871226059978653,7.256396733999281,,0.9698292682926829,0.9474593991865762,G6_cross_cipher,cross_cipher,,34.419057627001166,"['aes-128-gcm', 'aes-256-gcm']",['chacha20-poly1305'],-0.009341463414634155,ET-BERT,reproduced,phase2_occlusion
shortcut_compare_full_G6_cross_cipher_etbert,baseline,etbert,0.11748861831171394,0.010568092080345091,10984.615382924343,1.6796218489980674,2.649655391000124,3607.2792773030014,0.9604878048780487,0.9595586534991727,G6_cross_cipher,in_cipher,,,,,,ET-BERT,reproduced,phase2_occlusion
ubuntu_G6_cross_cipher_mamba_lite_cross,baseline,mamba_lite,0.0649354810717509,0.0,129498.3596458392,0.316606327000045,2.1086335629988757,,0.9745853658536584,0.9518551658552032,G6_cross_cipher,cross_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/437d76e001ce5f6904ed2fb0f842dd8f9557ba6e,21.24361924999903,"['aes-128-gcm', 'aes-256-gcm']",['chacha20-poly1305'],-0.0123089430894308,NetMambaLite,existing,phase2_occlusion
ubuntu_G6_cross_cipher_mamba_lite,baseline,mamba_lite,0.0944079663676108,0.0039118617694125,142164.11179984623,0.1297795890004636,0.4979267170001549,349.0331883179988,0.9622764227642276,0.9563605346302996,G6_cross_cipher,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/6857a7b0b0234c35d9d90fac7db4a1ea4a3aabc8,,,,,NetMambaLite,existing,phase2_occlusion
ubuntu_G6_cross_cipher_transformer_cross,baseline,transformer,0.2277412112384007,0.0,186351.9461693076,0.2200138009975489,1.9652193639994948,,0.921658536585366,0.9008805015290242,G6_cross_cipher,cross_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/437d76e001ce5f6904ed2fb0f842dd8f9557ba6e,9.424129462000565,"['aes-128-gcm', 'aes-256-gcm']",['chacha20-poly1305'],-0.0102222222222222,Transformer,existing,phase2_occlusion
ubuntu_G6_cross_cipher_transformer,baseline,transformer,0.2616025783688758,0.0026998762973036,188213.38035882963,0.0980270369982463,0.408311772000161,192.68653293300304,0.9114363143631437,0.9041587737211528,G6_cross_cipher,in_cipher,/home/moran/CipherSpectrum_TLS 1.3/outputs/precomputed_cache/6857a7b0b0234c35d9d90fac7db4a1ea4a3aabc8,,,,,Transformer,existing,phase2_occlusion
shortcut_compare_full_G6_cross_cipher_yatc_cross,baseline,yatc,0.12766430502671708,0.0,142857.5848700889,0.28699911199873895,2.7856168920006894,,0.9546341463414634,0.9321228924860754,G6_cross_cipher,cross_cipher,,10.06478843700097,"['aes-128-gcm', 'aes-256-gcm']",['chacha20-poly1305'],-0.020108401084010796,YaTC,reproduced,phase2_occlusion
shortcut_compare_full_G6_cross_cipher_yatc,baseline,yatc,0.16757658745684245,0.0004728616481743397,156004.83538769613,0.11826556500091101,0.4660227839995059,153.3857735920028,0.9345257452574526,0.9168475061747337,G6_cross_cipher,in_cipher,,,,,,YaTC,reproduced,phase2_occlusion
shortcut_compare_full_P3_payload_only_debiased_etbert,payload_only,etbert,4.789839534714147,0.004283279251418302,10144.748147779474,1.8186750160020893,2.74176320100014,3914.4759366809994,0.7684552845528455,0.761378947061843,P3_payload_only_debiased,in_cipher,,,,,,ET-BERT,reproduced,phase3_fair_duel
shortcut_compare_full_P3_payload_only_debiased_yatc,payload_only,yatc,1.4361072405927975,0.0006205101297417272,155269.27753714318,0.11882582499674754,0.5786208759964211,170.89687293899624,0.9457452574525745,0.9344194935332321,P3_payload_only_debiased,in_cipher,,,,,,YaTC,reproduced,phase3_fair_duel
shortcut_compare_full_P3_cross_cipher_debiased_etbert_cross,payload_only,etbert,1.7821223958048173,0.0,10007.68729514293,4.096850630005065,7.562614945003588,,0.7782926829268293,0.7687748013953036,P3_cross_cipher_debiased,cross_cipher,,26.568332317998284,"['aes-128-gcm', 'aes-256-gcm']",['chacha20-poly1305'],-0.003875338753387525,ET-BERT,reproduced,phase3_fair_duel
shortcut_compare_full_P3_cross_cipher_debiased_etbert,payload_only,etbert,4.761361088616625,0.004252337077517576,10474.489093126133,1.7614224270000705,2.646267654999974,3911.023358815004,0.7744173441734418,0.766625264331118,P3_cross_cipher_debiased,in_cipher,,,,,,ET-BERT,reproduced,phase3_fair_duel
shortcut_compare_full_P3_cross_cipher_debiased_yatc_cross,payload_only,yatc,0.9929134680333078,0.0,148621.7405234201,0.27586811899527675,1.7342727220020606,,0.9627317073170731,0.9408629662835909,P3_cross_cipher_debiased,cross_cipher,,8.850047304993495,"['aes-128-gcm', 'aes-256-gcm']",['chacha20-poly1305'],-0.016607046070460707,YaTC,reproduced,phase3_fair_duel
shortcut_compare_full_P3_cross_cipher_debiased_yatc,payload_only,yatc,1.445076123816132,0.000529141132748736,149005.3408871667,0.12382106500444934,0.5423186869957135,171.38044613599777,0.9461246612466124,0.9346106326408316,P3_cross_cipher_debiased,in_cipher,,,,,,YaTC,reproduced,phase3_fair_duel
